2015-6,32.900000,14.400000,22.760000
2015-5,33.600000,10.700000,21.235484
2015-4,28.800000,4.500000,15.550000
2016-3,22.300000,-0.700000,9.896774
2015-3,24.500000,-1.200000,9.416129
2016-2,21.800000,-2.000000,6.434483
2015-2,15.900000,-1.000000,5.625000
2016-1,16.000000,-4.100000,5.674194
2015-1,13.000000,-1.700000,4.916129
曇時々晴,8,29.100000,1.800000,11.266667
晴時々雨一時雪,1,9.200000,2.000000,4.600000
大雨,2,24.200000,6.300000,12.266667
雪時々晴一時みぞれ,1,5.300000,-0.300000,2.200000
雪後雨一時晴、みぞれを伴う,1,5.400000,-1.700000,1.600000
雨時々曇,10,24.100000,0.000000,10.063636
曇時々雪一時晴、みぞれを伴う,1,6.000000,0.000000,2.900000
曇時々雨一時雪後晴,1,7.100000,-0.300000,3.900000
晴後雨時々雪,1,6.900000,2.100000,4.100000
曇時々雨、雷を伴う,1,29.500000,18.800000,22.500000
薄曇後晴,1,29.200000,17.800000,22.800000
曇,23,31.900000,0.800000,14.437500
曇後晴,5,31.800000,2.600000,13.833333
晴時々雨後一時雪,1,7.900000,1.800000,4.600000
雨後時々晴,1,9.300000,3.700000,5.700000
晴時々曇一時雨,1,10.600000,4.000000,7.100000
曇時々雪,1,5.900000,0.100000,2.600000
曇時々雨一時晴,1,16.500000,10.000000,12.300000
曇一時雨後一時晴,2,15.900000,4.600000,8.300000
曇一時晴,12,31.000000,-0.100000,13.407692
晴時々雪,1,5.700000,-0.500000,1.800000
晴後一時雪,1,5.200000,-0.400000,2.000000
曇時々雨後晴,1,8.600000,2.800000,5.000000
曇後一時雨、あられを伴う,1,8.200000,0.900000,4.000000
晴一時雨,1,10.900000,3.000000,6.600000
曇時々雨、みぞれを伴う,1,9.100000,2.900000,5.600000
薄曇後一時晴,1,10.800000,1.900000,5.400000
雨,8,20.000000,5.400000,10.244444
薄曇一時晴,6,26.500000,1.500000,11.728571
晴後時々雪一時みぞれ,1,5.800000,1.200000,3.100000
晴後大雪,1,4.700000,-0.500000,1.600000
曇時々雪後時々雨、みぞれを伴う,1,6.200000,1.300000,3.600000
晴後時々雨,1,8.900000,2.400000,5.100000
薄曇,7,30.600000,11.700000,21.425000
晴後曇一時雨,1,28.400000,15.100000,20.400000
雨一時曇後晴,1,11.300000,4.500000,7.300000
晴時々雨、みぞれを伴う,1,10.600000,1.900000,5.300000
雨一時晴後曇,1,14.700000,9.000000,12.300000
晴後時々薄曇,1,14.500000,5.100000,9.100000
雨時々曇後時々晴,1,6.900000,2.700000,4.100000
晴時々曇,8,30.700000,-2.500000,9.622222
曇後時々雨,2,27.300000,1.400000,11.900000
晴後曇時々雪,1,3.500000,-1.000000,1.100000
薄曇時々晴,2,19.100000,2.300000,9.800000
雨時々曇一時晴,2,21.900000,3.200000,9.533333
晴後一時薄曇,1,18.100000,2.200000,9.800000
曇後一時晴,7,21.400000,1.400000,10.325000
曇後時々晴一時雪,1,4.000000,-1.100000,1.000000
快晴,6,28.800000,-2.000000,9.871429
晴一時曇,6,22.100000,1.200000,8.342857
雨後時々曇,6,24.200000,5.700000,14.471429
晴,23,31.800000,-3.500000,11.500000
晴後一時雨,1,22.200000,7.400000,13.100000
曇後一時雨,5,31.100000,1.000000,12.483333
曇後雨,7,25.500000,4.600000,15.887500
晴後曇,8,33.400000,-0.200000,12.000000
曇後時々晴、みぞれを伴う,1,8.700000,-0.500000,3.000000
曇時々雨,9,27.000000,0.900000,10.780000
晴時々雨,1,10.300000,2.500000,5.100000
晴一時雪,4,9.300000,-4.100000,2.240000
晴後薄曇,8,33.600000,-0.300000,14.300000
曇一時晴後時々雨,2,19.600000,3.500000,10.600000
雨後晴,2,10.700000,1.600000,5.000000
雨一時曇,3,12.400000,0.000000,7.575000
晴後時々曇,4,14.400000,0.700000,5.440000
晴一時薄曇,4,26.500000,0.300000,12.920000
曇後時々晴,1,25.300000,18.900000,20.900000
曇一時雨,5,24.100000,8.100000,15.300000
曇時々晴後一時雨,3,11.900000,1.700000,6.125000
晴一時雨、あられを伴う,1,14.700000,6.000000,9.700000
曇時々みぞれ後晴、あられを伴う,1,8.000000,0.300000,3.600000
晴時々薄曇,2,23.800000,6.300000,13.666667
晴後曇時々雨,1,12.200000,4.900000,8.200000
雨後曇,2,20.300000,3.100000,8.700000
晴後一時雨、みぞれを伴う,1,8.000000,1.800000,4.400000
曇時々晴一時雪,1,5.800000,-1.700000,1.800000
曇一時雨後晴,3,30.800000,5.500000,13.500000
晴後一時曇,11,28.100000,-0.700000,8.641667
曇一時雪後雨,1,6.100000,1.400000,3.300000
晴後時々曇一時雨,1,17.200000,2.600000,9.300000
曇時々雨後一時晴,1,8.700000,2.400000,5.100000
全体：33.600000,-4.100000,11.318750
晴：33.600000,-4.100000,10.573488
雨：33.400000,-1.700000,11.555000
